timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,IdleTime
1480052096175,376,Login,200,OK,Weather Predictor Test Cases 1-1,text,true,,3601,1,1,376,0
1480052096679,386,Login,200,OK,Weather Predictor Test Cases 1-2,text,true,,3597,2,2,386,0
1480052097180,384,Login,200,OK,Weather Predictor Test Cases 1-3,text,true,,3601,3,3,383,0
1480052096554,1056,Send Login,200,OK,Weather Predictor Test Cases 1-1,text,true,,3206,3,3,621,0
1480052097682,362,Login,200,OK,Weather Predictor Test Cases 1-4,text,true,,3601,4,4,362,0
1480052097069,1025,Send Login,200,OK,Weather Predictor Test Cases 1-2,text,true,,3206,4,4,603,0
1480052097612,534,Get Weather,200,OK,Weather Predictor Test Cases 1-1,text,true,,4146,4,4,534,0
1480052098180,429,Login,200,OK,Weather Predictor Test Cases 1-5,text,true,,3601,5,5,429,0
1480052098096,512,Get Weather,200,OK,Weather Predictor Test Cases 1-2,text,true,,4146,5,5,424,0
1480052097566,1102,Send Login,200,OK,Weather Predictor Test Cases 1-3,text,true,,3206,5,5,608,0
1480052098680,631,Login,200,OK,Weather Predictor Test Cases 1-6,text,true,,3599,7,7,631,0
1480052098670,644,Get Weather,200,OK,Weather Predictor Test Cases 1-3,text,true,,4146,7,7,644,0
1480052098047,1281,Send Login,200,OK,Weather Predictor Test Cases 1-4,text,true,,3206,7,7,627,0
1480052098149,1202,Post Weather,200,OK,Weather Predictor Test Cases 1-1,text,true,,4648,7,7,725,0
1480052099352,0,Debug Sampler,200,OK,Weather Predictor Test Cases 1-1,text,true,,2379,7,7,0,0
1480052098611,886,Send Login,200,OK,Weather Predictor Test Cases 1-5,text,true,,3206,6,6,662,0
1480052099180,638,Login,200,OK,Weather Predictor Test Cases 1-7,text,true,,3597,7,7,537,0
1480052099331,538,Get Weather,200,OK,Weather Predictor Test Cases 1-4,text,true,,4146,7,7,538,0
1480052099499,429,Get Weather,200,OK,Weather Predictor Test Cases 1-5,text,true,,4146,7,7,429,0
1480052099682,385,Login,200,OK,Weather Predictor Test Cases 1-8,text,true,,3601,7,7,385,0
1480052099321,1334,Send Login,200,OK,Weather Predictor Test Cases 1-6,text,true,,3206,8,8,621,0
1480052100181,484,Login,200,OK,Weather Predictor Test Cases 1-9,text,true,,3599,8,8,484,0
1480052099822,901,Send Login,200,OK,Weather Predictor Test Cases 1-7,text,true,,3206,9,9,667,0
1480052100657,255,Get Weather,200,OK,Weather Predictor Test Cases 1-6,text,true,,4146,9,9,161,0
1480052100725,475,Get Weather,200,OK,Weather Predictor Test Cases 1-7,text,true,,4146,9,9,475,0
1480052100681,592,Login,200,OK,Weather Predictor Test Cases 1-10,text,true,,3599,9,9,592,0
1480052100072,1249,Send Login,200,OK,Weather Predictor Test Cases 1-8,text,true,,3206,9,9,714,0
1480052101323,442,Get Weather,200,OK,Weather Predictor Test Cases 1-8,text,true,,4146,9,9,442,0
1480052100668,1149,Send Login,200,OK,Weather Predictor Test Cases 1-9,text,true,,3206,9,9,669,0
1480052098614,3297,Post Weather,200,OK,Weather Predictor Test Cases 1-2,text,true,,3379,9,9,2863,0
1480052101915,1,Debug Sampler,200,OK,Weather Predictor Test Cases 1-2,text,true,,2379,9,9,0,0
1480052101819,263,Get Weather,200,OK,Weather Predictor Test Cases 1-9,text,true,,4146,8,8,262,0
1480052101278,878,Send Login,200,OK,Weather Predictor Test Cases 1-10,text,true,,3206,8,8,636,0
1480052102158,240,Get Weather,200,OK,Weather Predictor Test Cases 1-10,text,true,,4146,8,8,240,0
1480052099872,2835,Post Weather,200,OK,Weather Predictor Test Cases 1-4,text,true,,4638,8,8,2494,0
1480052102708,1,Debug Sampler,200,OK,Weather Predictor Test Cases 1-4,text,true,,2379,8,8,0,0
1480052099932,2866,Post Weather,200,OK,Weather Predictor Test Cases 1-5,text,true,,3379,7,7,2519,0
1480052102800,1,Debug Sampler,200,OK,Weather Predictor Test Cases 1-5,text,true,,2379,7,7,0,0
1480052099317,3548,Post Weather,200,OK,Weather Predictor Test Cases 1-3,text,true,,3378,6,6,3208,0
1480052102867,0,Debug Sampler,200,OK,Weather Predictor Test Cases 1-3,text,true,,2379,6,6,0,0
1480052101203,2177,Post Weather,200,OK,Weather Predictor Test Cases 1-7,text,true,,3378,5,5,1944,0
1480052103384,1,Debug Sampler,200,OK,Weather Predictor Test Cases 1-7,text,true,,2380,5,5,0,0
1480052101768,2106,Post Weather,200,OK,Weather Predictor Test Cases 1-8,text,true,,4638,4,4,1860,0
1480052103877,1,Debug Sampler,200,OK,Weather Predictor Test Cases 1-8,text,true,,2380,4,4,0,0
1480052102084,2268,Post Weather,200,OK,Weather Predictor Test Cases 1-9,text,true,,4638,3,3,1703,0
1480052104354,0,Debug Sampler,200,OK,Weather Predictor Test Cases 1-9,text,true,,2380,3,3,0,0
1480052102401,1956,Post Weather,200,OK,Weather Predictor Test Cases 1-10,text,true,,4638,2,2,1571,0
1480052104359,0,Debug Sampler,200,OK,Weather Predictor Test Cases 1-10,text,true,,2381,2,2,0,0
1480052100915,3446,Post Weather,200,OK,Weather Predictor Test Cases 1-6,text,true,,3379,1,1,2872,0
1480052104363,0,Debug Sampler,200,OK,Weather Predictor Test Cases 1-6,text,true,,2379,1,1,0,0
