timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,IdleTime
1480054580863,400,Login,200,OK,Weather Predictor Test Cases 1-1,text,true,,3597,1,1,400,0
1480054581361,706,Login,200,OK,Weather Predictor Test Cases 1-2,text,true,,3599,3,3,706,0
1480054581266,870,Send Login,200,OK,Weather Predictor Test Cases 1-1,text,true,,3206,3,3,617,0
1480054581858,360,Login,200,OK,Weather Predictor Test Cases 1-3,text,true,,3599,3,3,360,0
1480054582139,693,Get Weather,200,OK,Weather Predictor Test Cases 1-1,text,true,,4146,4,4,693,0
1480054582357,544,Login,200,OK,Weather Predictor Test Cases 1-4,text,true,,3599,5,5,543,0
1480054582076,913,Send Login,200,OK,Weather Predictor Test Cases 1-2,text,true,,3206,5,5,617,0
1480054582863,550,Login,200,OK,Weather Predictor Test Cases 1-5,text,true,,3605,6,6,550,0
1480054582221,1246,Send Login,200,OK,Weather Predictor Test Cases 1-3,text,true,,3206,6,6,711,0
1480054582991,612,Get Weather,200,OK,Weather Predictor Test Cases 1-2,text,true,,4146,6,6,422,0
1480054583366,592,Login,200,OK,Weather Predictor Test Cases 1-6,text,true,,3601,7,7,465,0
1480054583470,642,Get Weather,200,OK,Weather Predictor Test Cases 1-3,text,true,,4146,7,7,642,0
1480054582903,1209,Send Login,200,OK,Weather Predictor Test Cases 1-4,text,true,,3206,7,7,699,0
1480054582835,1340,Post Weather,200,OK,Weather Predictor Test Cases 1-1,text,true,,4648,7,7,440,0
1480054584177,1,Debug Sampler,200,OK,Weather Predictor Test Cases 1-1,text,true,,2379,7,7,0,0
1480054583414,1126,Send Login,200,OK,Weather Predictor Test Cases 1-5,text,true,,3206,7,7,626,0
1480054583864,679,Login,200,OK,Weather Predictor Test Cases 1-7,text,true,,3597,7,7,679,0
1480054584119,475,Get Weather,200,OK,Weather Predictor Test Cases 1-4,text,true,,4146,7,7,368,0
1480054584360,457,Login,200,OK,Weather Predictor Test Cases 1-8,text,true,,3603,7,7,457,0
1480054584542,287,Get Weather,200,OK,Weather Predictor Test Cases 1-5,text,true,,4146,7,7,187,0
1480054583961,1209,Send Login,200,OK,Weather Predictor Test Cases 1-6,text,true,,3206,8,8,641,0
1480054584866,547,Login,200,OK,Weather Predictor Test Cases 1-9,text,true,,3599,9,9,547,0
1480054585173,313,Get Weather,200,OK,Weather Predictor Test Cases 1-6,text,true,,4146,9,9,313,0
